#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime

#DATACENTER=AUSPASS,http://auspass.edu.au/
YS|TL04||BHZ|-8.2213|125.6065|12.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-25T00:00:00|2018-12-31T23:59:59
YS|TL05||BH1|-8.9853|125.6598|502.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-24T00:00:00|2018-12-31T23:59:59
YS|TL05||BH2|-8.9853|125.6598|502.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-24T00:00:00|2018-12-31T23:59:59
YS|TL05||BHZ|-8.9853|125.6598|502.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-24T00:00:00|2018-12-31T23:59:59
YS|TL06||BH1|-8.4718|126.4576|431.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-17T00:00:00|2018-06-07T23:59:59
YS|TL06||BH2|-8.4718|126.4576|431.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-17T00:00:00|2018-06-07T23:59:59
YS|TL06||BHZ|-8.4718|126.4576|431.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-17T00:00:00|2018-06-07T23:59:59
YS|TL07||BH1|-8.8558|126.3628|56.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-18T00:00:00|2017-12-31T23:59:59
YS|TL07||BH2|-8.8558|126.3628|56.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-18T00:00:00|2017-12-31T23:59:59
YS|TL07||BHZ|-8.8558|126.3628|56.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-18T00:00:00|2017-12-31T23:59:59
YS|TL08||BH1|-8.4947|126.9908|398.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Taurus Stand|1.19642E9|0.3|m/s|50.0|2014-03-17T00:00:00|2018-03-14T23:59:59
